## RECSRecommendations Upload File ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
## RECS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.ib-display,entity.ib-pill,entity.ib-info-url,entity.ib-info-url-inelig,entity.ib-info-name,entity.ib-apply-url,entity.ib-apply-url-inelig,entity.ib-apply-name,entity.ib-message,entity.ib-img-url,entity.ib-eligibleclasslist,entity.basite-message,entity.basite-pageUrl,entity.basite-imgUrl,entity.basite-imgPath,entity.ccsite-message,entity.ccsite-cta,entity.ccsite-pageUrl,entity.ccsite-imgUrl,entity.ccsite-imgPath,entity.sitearea-display
ils-pl-var,ANZ Variable Rate Personal Loan,,,,,https://www.anz.com.au/personal/personal-loans/variable-rate/,,,y,PERSONAL LOANS,https://www.anz.com.au/personal/personal-loans/variable-rate/?pid=pel-ibrec-t-ibpao-10-24-acq-lafcashbackvar,,Learn more,&,,&,"Get $250 cashback + $150 Loan Approval Fee Waiver with an ANZ Personal Loan. T&Cs, eligibility, assessment criteria apply",https://www.anz.com.au/content/dam/anzcomau/images/personal-loans/pl-girl-in-beach-ib-home.jpg,"[""R1CNE"",""R1SBE"",""RAGE"",""BASE"",""B2SIGN"",""B2SUSI"",""B2OPER"",""CSO"",""r1cne"",""r1sbe"",""rage"",""base"",""b2sign"",""b2susi"",""b2oper"",""cso""]",,,,,,,,,,
ils-pl-cat,ANZ Personal Loans,personal,,,,https://www.anz.com.au/personal/personal-loans/,,,n,PERSONAL LOANS,https://www.anz.com.au/personal/personal-loans/?pid=pel-ibrec-t-ibpao-03-21-acq-personaloanlearnmore,,Learn more,&,,&,"Fixed or variable interest rate, the choice is yours. Credit criteria and T&Cs apply.",https://www.anz.com.au/content/dam/anzcomau/images/personal-loans/iboffer/couple-laying-down-hugging-ib-promo-tile.jpg,"[""R1CNE"",""R1SBE"",""RAGE"",""BASE"",""B2SIGN"",""B2SUSI"",""B2OPER"",""CSO"",""r1cne"",""r1sbe"",""rage"",""base"",""b2sign"",""b2susi"",""b2oper"",""cso""]",,,,,,,,,,
ils-pl-cat-car,Drive away with an ANZ Personal Loan,personal,,,,https://www.anz.com.au/personal/personal-loans/car-loans/,,,n,PERSONAL LOANS,https://www.anz.com.au/personal/personal-loans/car-loans/?pid=pel-ibrec-t-ibpao-03-21-acq-plcarloanlearnmore,,Learn more,&,,&,"Whether you've got your eye on your first car or an upgrade for your family, an ANZ Personal Loan could get you to where you're going. Credit criteria and T&Cs apply.",https://www.anz.com.au/content/dam/anzcomau/images/personal-loans/iboffer/couple-driving-car-map-ib-promo-tile.jpg,"[""R1CNE"",""R1SBE"",""RAGE"",""BASE"",""B2SIGN"",""B2SUSI"",""B2OPER"",""CSO"",""r1cne"",""r1sbe"",""rage"",""base"",""b2sign"",""b2susi"",""b2oper"",""cso""]",,,,,,,,,,
ils-pl-cat-debt,Consolidate your debts with an ANZ Personal Loan,personal,,,,https://www.anz.com.au/personal/personal-loans/debt-consolidation/,,,n,PERSONAL LOANS,https://www.anz.com.au/personal/personal-loans/debt-consolidation/?pid=pel-ibrec-t-ibpao-03-21-acq-pldebtloanlearnmore,,Learn more,&,,&,Consolidating your existing debts with an ANZ Personal Loan could help you simplify your finances. Credit criteria and T&Cs apply.,https://www.anz.com.au/content/dam/anzcomau/images/personal-loans/iboffer/couple-eating-watermelon-ib-promo-tile.jpg,"[""R1CNE"",""R1SBE"",""RAGE"",""BASE"",""B2SIGN"",""B2SUSI"",""B2OPER"",""CSO"",""r1cne"",""r1sbe"",""rage"",""base"",""b2sign"",""b2susi"",""b2oper"",""cso""]",,,,,,,,,,
bus-ln-obl,ANZ GoBiz - easy online business loans,business,,,,,,,n,FEATURED PRODUCT,https://www.anz.com.au/business/loans-finance/online-business-lending/?pid=sbb-ibrec-t-ibpao-05-21-acq-gobizlearnmore,,See ANZ GoBiz,&,,&,"Easily apply online for business finance and get conditional approval, if eligible, in just 20 minutes.",https://www.anz.com.au/content/dam/anzcomau/images/business/internet-banking/ib-xf-images/bo-gobiz-ib-promo-tile-bottom.jpg,"[""R1CNE"",""R1SBE"",""RAGE"",""BASE"",""B2SIGN"",""B2SUSI"",""B2OPER"",""CSO"",""r1cne"",""r1sbe"",""rage"",""base"",""b2sign"",""b2susi"",""b2oper"",""cso""]",,,,,,,,,,
bus-ln-cat,ANZ Business Loans and Overdrafts,business,,,,,,,n,FEATURED PRODUCT,https://www.anz.com.au/business/loans-finance/?pid=sbb-ibrec-t-ibpao-05-21-acq-anzbusloanodlearnm,,Learn more,&,,&,Explore our range of flexible business lending solutions to help grow or manage your business.,https://www.anz.com.au/content/dam/anzcomau/images/business/internet-banking/ib-xf-images/bo-loans-overdrafts-ib-promo-tile-bottom.jpg,"[""R1CNE"",""R1SBE"",""RAGE"",""BASE"",""B2SIGN"",""B2SUSI"",""B2OPER"",""CSO"",""r1cne"",""r1sbe"",""rage"",""base"",""b2sign"",""b2susi"",""b2oper"",""cso""]",,,,,,,,,,
ils-hl-fix,ANZ Fixed Rate Home Loan,,,,,https://www.anz.com.au/personal/home-loans/compare-home-loan/fixed-rate/,,,y,HOME LOANS,https://www.anz.com.au/personal/home-loans/compare-home-loan/fixed-rate/?pid=mor-ibrec-t-ibpao-03-21-acq-fixedrate,,Learn more,https://www.anz.com.au/personal/home-loans/get-started/apply-home-loan/?pid=mor-ibrec-t-ibpao-03-21-acq-fixedrate,,Apply online,The certainty of fixed repayments and a low home loan rate for the agreed fixed period.,https://www.anz.com.au/content/dam/anzcomau/images/home-loans/2024/couple-on-couch-IB-promo-tile-bottom.jpg,"[""R1CNE"",""R1SBE"",""RAGE"",""BASE"",""B2SIGN"",""B2SUSI"",""B2OPER"",""CSO"",""r1cne"",""r1sbe"",""rage"",""base"",""b2sign"",""b2susi"",""b2oper"",""cso""]",,,,,,,,,,
ils-hl-sim,ANZ Simplicity PLUS Home Loan,,,,,https://www.anz.com.au/personal/home-loans/compare-home-loan/basic-variable/,,,y,HOME LOANS,https://www.anz.com.au/personal/home-loans/compare-home-loan/basic-variable/?pid=mor-ibrec-t-ibpao-03-21-acq-simplicityplus,,Learn more,https://www.anz.com.au/personal/home-loans/get-started/apply-home-loan/?pid=mor-ibrec-t-ibpao-03-21-acq-simplicityplus,,Apply online,"Keep it simple, with no ongoing fees.",https://www.anz.com.au/content/dam/anzcomau/images/home-loans/2024/child-with-cat-IB-promo-tile-bottom.jpg,"[""R1CNE"",""R1SBE"",""RAGE"",""BASE"",""B2SIGN"",""B2SUSI"",""B2OPER"",""CSO"",""r1cne"",""r1sbe"",""rage"",""base"",""b2sign"",""b2susi"",""b2oper"",""cso""]",,,,,,,,,,
ils-hl-var,ANZ Standard Variable Home Loan,,,,,https://www.anz.com.au/personal/home-loans/compare-home-loan/standard-variable-rate/,,,y,HOME LOANS,https://www.anz.com.au/personal/home-loans/compare-home-loan/standard-variable-rate/?pid=mor-ibrec-t-ibpao-03-21-acq-standardvariable,,Learn more,https://www.anz.com.au/personal/home-loans/get-started/apply-home-loan/?pid=mor-ibrec-t-ibpao-03-21-acq-standardvariable,,Apply online,"Get the flexibility you need with a home loan full of features, so you can react to changes in your circumstances.",https://www.anz.com.au/content/dam/anzcomau/images/home-loans/2024/dad-daught-kitchen-IB-promo-tile-bottom.jpg,"[""R1CNE"",""R1SBE"",""RAGE"",""BASE"",""B2SIGN"",""B2SUSI"",""B2OPER"",""CSO"",""r1cne"",""r1sbe"",""rage"",""base"",""b2sign"",""b2susi"",""b2oper"",""cso""]",,,,,,,,,,
dda-et,ANZ Share Investing,,,,,,,,n,FEATURED PRODUCT,https://www.anz.com.au/personal/investing-super/online-share-investing/?pid=inv-ibrec-t-ibpao-03-21-acq-silearnmore,Learn more,https://shareinvestingapp.anz.com/?pid=inv-ibrec-t-ibpao-03-21-acq-siapplynow,Apply now,Set up your share investing account with ANZ today,https://www.anz.com.au/content/dam/anzcomau/images/wealth/share-investing-ib-offer-tile-featured.jpg,,,,,,,,,,,,,
